m1_idx,m2_plane,m2_roi,col1,row1,z1,x2,y2,z2,x1_in_m2,y1_in_m2,d_xy_px,d_z_um,corr,cost
61,19,70,144.81859974827407,107.85907900913469,-4.0,130.5966386554622,73.84873949579831,-5.0,144.2538072092558,107.43842860099906,36.2599705886639,1.0,0.09627666837994016,54.684437221065096
62,24,215,10.595182927213923,17.3511068837697,-4.5,10.390243902439025,15.902439024390244,5.0,10.553861713797788,17.283437566923,1.3906573131693605,9.5,0.5317527703356861,14.080601906455637
63,14,1,132.84409400724462,122.32937007749452,4.0,89.94852941176471,99.36764705882354,-15.0,132.32600204061637,121.85228553419229,47.97300442725164,19.0,0.085221350261026,72.91857742203112
64,29,79,238.20222078397092,10.609364372204652,10.0,239.22018348623854,12.8348623853211,15.0,237.2732321229134,10.567987851153054,2.9882000878142625,5.0,0.21405379921965256,20.45712410342121
65,19,16,85.69457917017604,10.46183363209023,-5.0,102.71538461538462,47.238461538461536,-5.0,85.36037031141235,10.421032480925078,40.70282058896916,0.0,0.20941349701656226,56.514550648637915
66,14,53,20.108313640134224,113.34892616655856,-30.0,16.764705882352942,128.24705882352941,-15.0,20.0298912169377,112.90686535450898,15.68384426523563,15.0,0.12565471740811676,38.420749917073294
67,24,163,188.08275882315468,47.8904988016013,-2.0,174.5529411764706,6.023529411764706,5.0,187.34923606374437,47.70372585627505,43.60027452316145,7.0,0.09576294707654912,64.13501558163047
68,24,33,172.18468055049425,148.737300478511,10.666666666666666,153.046875,120.328125,5.0,171.5131602963473,148.1572250066448,33.39854038466248,5.666666666666666,0.1291707913864883,52.79845789026605
69,19,17,94.72933126588235,9.928611761109579,-7.0,109.52678571428571,7.232142857142857,-5.0,94.35988687394541,9.889890175241252,15.398001209247095,2.0,0.0969109609895878,34.15978198945534
70,24,180,231.20845622153058,206.26667825027468,9.0,222.9784946236559,203.61290322580646,5.0,230.3067432422666,205.4622382050986,7.5579936280604985,4.0,0.1182784902325552,26.59242382340939
71,19,61,185.27170851486449,121.79723063821443,-22.0,167.18556701030928,147.81443298969072,-5.0,184.54914885165653,121.32222143872539,31.675404452386463,17.0,0.09344325081639687,55.756539436058524
72,24,103,187.60935098621715,5.039298903491226,3.5,184.99159663865547,4.823529411764706,5.0,186.8776745173709,5.019645637767611,1.8962466450020043,1.5,0.47549862968335677,12.911274051334868
73,24,26,208.04895890678964,41.88309340100646,5.5,207.53968253968253,40.92063492063492,5.0,207.23756796705317,41.71974933674254,0.854316724070205,0.5,0.6055045108680689,8.919226506708826
75,24,7,157.09269794318607,39.02562476436965,5.0,156.76984126984127,38.285714285714285,5.0,156.48003642120764,38.87342482778861,0.6552789723139718,0.0,0.40413053141604527,12.572668343993067
