m2_plane,m2_roi,col,row,z_old,best_z,z_activity,z_parallax,z_source,parallax_rms_px,best_r,n_pass,primary_view,r_v1,r_v2,r_v3,r_v4,plane_z_prior
24,58,9.34877142350494,47.02998422820964,3.0,4.0,4.0,4.0,parallax,1.0,0.7489017160653179,4,3,0.6177816405345671,0.7314838018643592,0.7489017160653179,0.6950888843827074,5.0
24,60,104.29169335630198,47.68153320072175,3.0,0.0,0.0,0.0,parallax,1.118033988749895,0.8507492702627357,4,3,0.7334509072399331,0.8181904021567243,0.8507492702627357,0.7740551347592534,5.0
24,62,58.117340510875295,213.35069021435854,3.0,8.0,2.0,8.0,parallax,1.1676771415458966,0.6200503586980942,4,2,0.5055834945483123,0.5524122218468637,0.6200503586980942,0.5146362200934698,5.0
24,63,238.64556771408493,117.81101295050698,9.0,14.0,4.0,14.0,parallax,1.1522616959506906,0.7186811768594891,4,4,0.65168472696705,0.706445296863123,0.651383641683118,0.7186811768594891,5.0
24,64,19.787916676691992,121.6230903830725,5.0,-2.0,0.0,-2.0,parallax,1.6448003905516317,0.8225831168113504,4,2,0.6012618188242308,0.792289495741566,0.8225831168113504,0.7341479355934534,5.0
24,66,78.89174861606283,29.5133320836217,3.0,-2.0,-4.0,-2.0,parallax,1.1993992819418573,0.7346910109037111,4,3,0.6527795841581027,0.6687118693565559,0.7346910109037111,0.6033947171454733,5.0
24,68,236.10174920284348,221.52499031938845,7.0,6.0,2.0,6.0,parallax,1.4596623452320807,0.8576847905218385,4,4,0.8469328226066251,0.8576847905218385,0.8190377830354935,0.8499089535900268,5.0
24,71,216.75051792901405,67.67822690310393,5.0,6.0,0.0,6.0,parallax,1.1278516659060056,0.6876235929760751,4,1,0.5053150477582751,0.6147979460573714,0.5779564436718159,0.6876235929760751,5.0
24,73,71.53430293036459,123.73006640792708,5.0,0.0,0.0,0.0,parallax,1.5,0.7026605052530492,4,3,0.48445948235054515,0.7026605052530492,0.5804902278447162,0.6084160648854503,5.0
24,81,75.3098373981107,189.81703158446976,9.0,6.0,4.0,6.0,parallax,0.9645660263904645,0.7800910398834253,4,2,0.665314738086699,0.7025655315929445,0.7800910398834253,0.735967737921615,5.0
24,86,185.49224703616835,221.02084797376435,13.0,8.0,4.0,8.0,parallax,1.5609402698908477,0.7495895722584017,4,1,0.5431806094854644,0.7191018073527461,0.7495895722584017,0.6923537841199612,5.0
24,88,159.50988856540508,53.18522236723221,-1.0,6.0,0.0,6.0,parallax,1.6785240551404743,0.7775775057846077,4,3,0.6638080377006887,0.6782284211397838,0.7775775057846077,0.6686671045219459,5.0
24,90,109.84963641667069,227.05085265606732,11.0,6.0,6.0,6.0,parallax,0.7071067811865476,0.745929603545069,4,2,0.6132696262187017,0.6664835994566258,0.745929603545069,0.7307701382525907,5.0
24,93,248.83983109347696,48.13357403608587,13.0,16.0,8.0,16.0,parallax,1.3193052698723688,0.8524879924939899,4,4,0.7951087639985324,0.8524879924939899,0.8494847945084518,0.8057096785465049,5.0
24,94,146.42940802462937,104.28169862463608,5.0,4.0,2.0,4.0,parallax,1.0093511012004557,0.7489365025856651,4,1,0.6909757553942852,0.7489365025856651,0.7249315395130514,0.5536746938257745,5.0
24,99,131.2116253388214,73.68738078506175,9.0,2.0,-2.0,2.0,parallax,1.2074980782587421,0.7091067012585605,4,2,0.5568958535621167,0.7091067012585605,0.7086164990409954,0.5763787141954537,5.0
24,102,92.58654532493237,146.57554462403374,3.0,0.0,0.0,0.0,parallax,1.118033988749895,0.5523427260661709,4,2,0.46766673306846424,0.5172569277054224,0.4964817906833663,0.5523427260661709,5.0
24,103,186.7158886042119,4.842414829600147,5.0,2.0,4.0,2.0,parallax,1.3201923169459016,0.8860521829498559,4,1,0.8137902335777938,0.8839303557692788,0.8860521829498559,0.8624801383431564,5.0
24,106,197.2842600995367,124.92495186673573,11.0,8.0,6.0,8.0,parallax,1.0491187026411315,0.6902996561345921,4,1,0.6692558991057448,0.647744326654619,0.6902996561345921,0.6771068014673922,5.0
24,114,66.33714624289631,162.44726984258216,5.0,2.0,2.0,2.0,parallax,2.0,0.5715804295001093,4,3,0.45736918383134023,0.49831492470831096,0.5654988248139693,0.5715804295001093,5.0
24,115,203.75152750900926,82.04493386275439,11.0,6.0,6.0,6.0,parallax,0.5,0.6508990189693609,4,1,0.586919894976718,0.5026943463316419,0.5665249666698119,0.6508990189693609,5.0
24,116,142.02778614373838,146.11761425113497,11.0,6.0,2.0,6.0,parallax,1.2229751410164789,0.6168519078653798,4,1,0.3014284605633956,0.5582081204989767,0.6066550299604632,0.6168519078653798,5.0
24,118,72.2105210320249,226.98132717598634,11.0,8.0,6.0,8.0,parallax,0.9558574223915167,0.4989103311716065,4,3,0.40653401776791026,0.2543431322662073,0.4989103311716065,0.44534565841515805,5.0
24,128,65.1881337215139,62.46752334103002,11.0,6.0,0.0,6.0,parallax,0.9567623106049313,0.56099051870828,4,3,0.5045875246693247,0.48903425001531453,0.5315384346682774,0.56099051870828,5.0
24,129,109.0608161302765,100.40473636656644,-3.0,-2.0,2.0,-2.0,parallax,0.9152594905905913,0.6481282240289553,4,2,0.5076914840974731,0.6481282240289553,0.637930774552313,0.5904945341066913,5.0
