plane_id,new_roi_idx,old_roi_idx,snr,out_dir
24,17,26,1.7826451374519587,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,18,28,1.4379290793752526,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,19,29,3.4611971822773553,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,20,31,2.3228406386490454,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,21,32,1.8055442756206308,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,22,33,1.8660757583049277,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,23,35,1.6331358841121404,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,24,36,1.9219591965563259,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,25,37,1.4961827106575387,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,26,38,1.5318062579407785,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,27,39,1.683082967950457,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,28,40,2.3949612793160324,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,29,41,1.2902601278442558,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,30,44,2.191527888126768,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,31,45,5.126035107347186,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,32,47,1.4796306794106069,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,33,49,1.5299950964827567,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,34,52,1.7507354901336394,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
