m2_plane,m2_roi,col,row,z2,best_z,best_r,r_v1,r_v2,r_v3,r_v4,n_pass,accepted,primary_view,used_warped_fp
24,60,104.29169335630198,47.68153320072175,5.0,5.0,0.6882167122998887,0.5599055497829029,0.6281119923524995,0.6882167122998887,0.6132003433583405,4,1,4,1
24,242,130.0956081659649,227.13090858268816,5.0,-1.0,0.5285228639722505,0.3528678993607888,0.42738831906060687,0.48417776702264187,0.5285228639722505,4,1,1,1
29,172,121.43411938137685,61.35771614559942,15.0,7.0,0.4421170323970111,0.29348495711901973,0.4398993954439145,0.4421170323970111,0.34570004780330643,4,1,1,1
29,57,210.78172615134508,218.90210530747336,15.0,3.0,0.6391522889789827,0.5600648092412208,0.6391522889789827,0.6065088980849601,0.5593067742567723,4,1,4,1
29,67,130.07820816143592,57.179656566119675,15.0,9.0,0.5070267310448401,0.39884802639640443,0.5070267310448401,0.4994014042470159,0.47845183084195186,4,1,1,1
24,39,195.18250863406655,224.34348051890564,5.0,5.0,0.4931096688788169,0.4629038582069144,0.4835133924365293,0.4098801721365807,0.4931096688788169,4,1,1,1
19,35,170.05143589410466,61.451425264413565,-5.0,-1.0,0.5530522601629023,0.5127259523320762,0.44394105207270484,0.5530522601629023,0.45944150607202533,4,1,1,1
19,9,42.42104274698535,194.1956398662266,-5.0,-3.0,0.5459030951048457,0.5133988797830613,0.51135778949059,0.5113284921847311,0.5459030951048457,4,1,4,1
24,66,78.89174861606283,29.5133320836217,5.0,-3.0,0.4873640331988414,0.4812248846204017,0.4763524653088916,0.47683895009020466,0.4873640331988414,4,1,3,1
24,132,218.3719440243178,224.5024102195283,5.0,3.0,0.4965633296022451,0.45715800371451776,0.4965633296022451,0.4173281657610549,0.36617451869309325,4,1,4,1
14,21,128.16596028860383,59.70240459531303,-15.0,3.0,0.49344070213492236,0.34963802008317457,0.49344070213492236,0.477385369633501,0.44448064533206205,4,1,3,1
19,34,99.66836765078722,106.30441773765142,-5.0,1.0,0.43134994708186647,0.27817314137555765,0.25505585026254557,0.43134994708186647,0.1596771582181818,4,1,4,1
14,48,117.79103457613132,58.586284675371566,-15.0,-5.0,0.5402058823362376,0.4166411665495125,0.4827446717966108,0.5402058823362376,0.4391823393120291,4,1,2,1
24,189,233.42464181737347,146.590751550093,5.0,5.0,0.35816027215619184,0.35816027215619184,0.3350671023091654,0.2907687070614432,0.32151922379942005,4,1,1,1
24,129,110.0608161302765,101.40473636656644,5.0,-1.0,0.3732727718303609,0.22434399335068045,0.3732727718303609,0.3320846838383972,0.35461905533496024,4,1,2,1
19,123,20.020387202397043,121.57027793008116,-5.0,-3.0,0.5569379047587084,0.4468448326172505,0.47452525292226505,0.5569379047587084,0.5463885299924389,4,1,1,1
29,9,158.01813990450609,40.321578455040076,15.0,5.0,0.4321409215701887,0.333844644825049,0.4321409215701887,0.42687971802633423,0.3330258849113313,4,1,1,1
19,12,40.10020369764663,145.00098772308777,-5.0,-1.0,0.619343128756041,0.5246782759391152,0.619343128756041,0.6160647465896767,0.6056681628281724,4,1,2,1
19,43,17.655683513006114,33.10515802047146,-5.0,-3.0,0.45567568781441836,0.4134648068155642,0.45567568781441836,0.45295705999990626,0.3985984249667663,4,1,2,1
29,199,247.38590502961551,5.156811565103906,15.0,13.0,0.34658007102000327,0.2995123443732493,0.32203757176620607,0.3282556077567935,0.34658007102000327,4,1,4,1
29,107,69.58175064570004,173.63170912011392,15.0,-1.0,0.4835127284073357,0.41001952409118714,0.461158831695408,0.47165424074820544,0.4835127284073357,4,1,3,1
19,32,43.904858678576176,173.1346847299061,-5.0,-3.0,0.4983890810531796,0.408425341320881,0.3700559812299649,0.45797611940869004,0.4983890810531796,4,1,1,1
24,11,46.80016771290386,66.33517778158347,5.0,3.0,0.6272133249014774,0.6179992348290086,0.6011498830285309,0.6195275529092656,0.6272133249014774,4,1,3,1
24,5,235.295605617815,22.59204598722419,5.0,7.0,0.7504771649648729,0.6822951809539709,0.6702389904392333,0.7133337879635409,0.7504771649648729,4,1,4,1
29,69,160.0129393523631,56.665439659114995,15.0,7.0,0.38623349040142224,0.38623349040142224,0.22851128836571596,0.307252877351025,0.34500913659695953,4,1,2,1
24,117,246.13423544484039,76.4817651225099,5.0,3.0,0.5624627875219713,0.5624627875219713,0.5520686625476987,0.42779784493306716,0.5416793710926423,4,1,1,1
24,71,213.75051792901405,66.67822690310393,5.0,5.0,0.5249426134118242,0.3695590659099979,0.43446559524564843,0.43064843085522125,0.5249426134118242,4,1,3,1
29,48,44.692764889866595,177.2114966817189,15.0,9.0,0.3592869691377951,0.25480389186965663,0.24770621709110943,0.3592869691377951,0.35653693858380764,4,1,2,1
24,141,131.16299493952343,242.81755513168022,5.0,9.0,0.573327202920672,0.4686079625070298,0.42261157001149235,0.514406822348678,0.573327202920672,4,1,4,1
19,28,29.099976394424743,71.325466617104,-5.0,-7.0,0.5733782164571652,0.5011216615603309,0.5733782164571652,0.5649789483431732,0.4749040959891563,4,1,2,1
24,36,215.419847550374,112.43123544140991,5.0,5.0,0.4956082048783679,0.4956082048783679,0.4575094864378015,0.3499732976293681,0.43751870384466923,4,1,3,1
29,29,106.66963476398534,198.09139702811981,15.0,7.0,0.4034292902636306,0.3770879003351927,0.3451766990357777,0.4034292902636306,0.3777838910440321,4,1,1,1
24,232,41.619007040845126,205.8975626992515,5.0,3.0,0.27405374851505626,0.23430875273351198,0.24237719825258858,0.27405374851505626,0.22869211266461692,4,1,2,1
24,140,39.15229723791639,98.48284045482299,5.0,1.0,0.3917769902581018,0.2984666629625135,0.3917769902581018,0.38097115620278305,0.33984711120639943,4,1,4,1
29,33,28.418308649241023,156.45658006344505,15.0,7.0,0.545081000393562,0.48265224033289855,0.4513890787004284,0.4648108838433487,0.545081000393562,4,1,1,1
19,25,169.75417658279054,48.82667698140395,-5.0,-5.0,0.3677890514944738,0.3487974189696513,0.26966211059117734,0.3677890514944738,0.355973048479031,4,1,4,1
14,17,51.91488635744764,87.39968229034412,-15.0,-9.0,0.4251814468691818,0.3930402985292105,0.36427421779209723,0.409330999321632,0.4251814468691818,4,1,1,1
19,33,137.44996307517124,23.60280023598885,-5.0,-7.0,0.46816624566123527,0.20972895994566598,0.37601054168489606,0.46816624566123527,0.44869947495488405,4,1,2,1
19,51,112.57463429408593,91.51793690307453,-5.0,-5.0,0.4506167071123092,0.3250770558238744,0.4506167071123092,0.35311451118745674,0.3181835460931343,4,1,3,1
24,28,210.2021412922161,58.98494323941805,5.0,3.0,0.39187275026731644,0.35303438684205435,0.39187275026731644,0.34463071769896125,0.3726031147994703,4,1,3,1
24,4,89.31648716619019,99.28530184918635,5.0,5.0,0.6490799279907179,0.6023416637640778,0.6490799279907179,0.6477888920733801,0.645678012547244,4,1,4,1
19,69,193.01316802195228,11.534568149114882,-5.0,-3.0,0.39159432745954637,0.2691978201453485,0.30514782053685263,0.39159432745954637,0.32686477291180244,4,1,2,1
19,56,9.973679960541766,46.31104786929896,-5.0,-1.0,0.48918836047368386,0.33934029103513647,0.48918836047368386,0.42821651626251567,0.3979365931304748,4,1,1,1
24,73,72.53430293036459,122.73006640792708,5.0,5.0,0.5311860089323357,0.39328162873359507,0.46270797132580777,0.41715473174105566,0.5311860089323357,4,1,4,1
24,168,160.19338163937394,81.47069846912764,5.0,5.0,0.4052438094313554,0.29470099242446096,0.4052438094313554,0.29267668360618326,0.18809243461637393,4,1,1,1
19,65,37.24006383516404,27.31341888537711,-5.0,-3.0,0.3688601348013555,0.2981083018386857,0.32679937614166216,0.3077221136594581,0.3688601348013555,4,1,4,1
14,15,140.28932838068468,30.29480529621078,-15.0,-7.0,0.4640403108350432,0.3404951623009044,0.34036181022102585,0.4640403108350432,0.4062288395937555,4,1,2,1
29,61,10.120277161738864,172.22724179856996,15.0,5.0,0.3485198505766672,0.2624549052947919,0.2721114200460385,0.3485198505766672,0.3377591023439669,4,1,2,1
19,18,162.7945626599199,6.377814653619705,-5.0,-5.0,0.5662409260388632,0.44914934724431477,0.5662409260388632,0.5282170973340096,0.5268784477576559,4,1,2,1
24,99,132.2116253388214,71.68738078506175,5.0,-1.0,0.5121838962089419,0.3853825161080088,0.5121838962089419,0.4865510979250596,0.4426930086415405,4,1,2,1
19,64,10.1325401624475,15.934236545784374,-5.0,-3.0,0.5896220166638391,0.5501014027484075,0.5896220166638391,0.5649603109789356,0.5145497743866788,4,1,2,1
24,86,184.49224703616835,221.02084797376435,5.0,5.0,0.5202279811780318,0.37473476080852797,0.5202279811780318,0.5064355342718102,0.444882338895908,4,1,1,1
19,72,124.04517970963953,99.03536071380138,-5.0,-1.0,0.38958611137616045,0.2630482006042131,0.3249068229218144,0.38958611137616045,0.25132177279814694,4,1,4,1
24,152,116.50565029702797,58.259822001457856,5.0,-1.0,0.6618757732220684,0.4497882667265285,0.5899623058382115,0.6618757732220684,0.5135927141913497,4,1,4,1
19,11,143.49810414462556,13.012286378414277,-5.0,-7.0,0.7060436069919132,0.6037207412136926,0.7060436069919132,0.7047475707442515,0.657307277229084,4,1,2,1
24,175,66.60318677184453,101.89232958031272,5.0,-1.0,0.389202149725046,0.389202149725046,0.37776980717066383,0.36808569052194934,0.2895103497557788,4,1,3,1
29,92,128.5930622385048,219.36255622279,15.0,5.0,0.6982730366784579,0.6895657879683962,0.6600202261547212,0.693922244601033,0.6982730366784579,4,1,1,1
24,238,155.27681244524882,16.657906932928835,5.0,3.0,0.37480415794193994,0.09813902536652015,0.26701549220674337,0.37480415794193994,0.32868620399624693,3,1,4,1
24,0,38.49340787279345,145.51527074995468,5.0,3.0,0.65912732894778,0.6089080249283348,0.6571532599152706,0.6420506325625798,0.65912732894778,4,1,4,1
24,32,78.79063553337468,220.35347994163538,5.0,5.0,0.5692761235939511,0.5004417774792427,0.4493266671156197,0.5692761235939511,0.5243358422279449,4,1,4,1
24,94,147.42940802462937,105.28169862463608,5.0,5.0,0.532713392943354,0.4999324969957582,0.532713392943354,0.48970332445003756,0.33084973223509656,4,1,4,1
19,53,185.43385896726556,28.339989870268482,-5.0,-5.0,0.4287920321428452,0.3925052701961072,0.4281280806003983,0.4287920321428452,0.37773066171362357,4,1,2,1
24,153,215.81758656741087,137.0637009589926,5.0,7.0,0.5272999551158142,0.4974949066766051,0.5272999551158142,0.4738731041960735,0.5215853313782925,4,1,4,1
24,49,165.19591964215996,6.017266328580454,5.0,1.0,0.6003795961936172,0.41120691155365785,0.6003795961936172,0.5855552303463054,0.5341096561219013,4,1,4,1
19,77,125.01910604510745,163.82541732576868,-5.0,-3.0,0.3892120342505458,0.348046398538391,0.3864310009112067,0.3871861883378949,0.3892120342505458,4,1,4,1
29,154,242.6253525501593,198.22140793539248,15.0,13.0,0.6201860467979453,0.5679898990845831,0.5107999663121582,0.5462432864676664,0.6201860467979453,4,1,2,1
24,142,23.384432368945657,238.52422945728944,5.0,5.0,0.4547909541964404,0.29088611295822614,0.4547909541964404,0.41950702659354244,0.4274621999903054,4,1,3,1
19,48,78.33435011931148,220.91536222035168,-5.0,-1.0,0.44775328796683883,0.42387866435909394,0.341760097259201,0.43932889321397167,0.44775328796683883,4,1,2,1
24,111,238.56473725791457,11.326783149936928,5.0,7.0,0.5163905898365263,0.3461029157645898,0.39263051503152496,0.5163905898365263,0.5005298016978764,4,1,3,1
19,97,125.63924621338536,16.85341209093844,-5.0,-5.0,0.327190211082515,0.12663415045748186,0.327190211082515,0.3270468991780728,0.22417323901360248,3,1,2,1
14,4,43.63018702877528,63.5550276652192,-15.0,-9.0,0.45976837492010203,0.4595261835793664,0.4524901843752808,0.45976837492010203,0.45118181057952583,4,1,1,1
19,1,145.67338937646295,46.1602882821953,-5.0,-3.0,0.7250257428276388,0.5640393287754937,0.7250257428276388,0.6742873578127913,0.6932809025866712,4,1,1,1
29,63,7.711393790622136,87.74961381646486,15.0,9.0,0.5506232183823431,0.5506232183823431,0.5282779220922933,0.4661430745049213,0.516925705373289,4,1,3,1
19,75,109.13171368336512,99.50195763477562,-5.0,-5.0,0.3803878108790702,0.31150970125773986,0.3803878108790702,0.32760133240526573,0.3310477266469698,4,1,2,1
24,170,213.6409998996085,50.55779645882099,5.0,3.0,0.240128632195311,0.02708489516516142,0.21606085358634378,0.240128632195311,-0.0396192345584185,2,1,1,1
29,77,55.15159917328374,126.24632893682185,15.0,5.0,0.3036335064968453,0.27546919401101366,0.2960287547867122,0.3036335064968453,0.25158798646209773,4,1,2,1
19,76,85.54512423011148,210.0912858393348,-5.0,-5.0,0.48785755272729886,0.4216301293259858,0.47080184339041414,0.48785755272729886,0.43584645315336223,4,1,3,1
24,227,93.74183076374096,219.19148043707094,5.0,5.0,0.4167805888300661,0.3530593785859923,0.33881644154086604,0.39158872588252197,0.4167805888300661,4,1,2,1
19,87,59.69617454016611,90.02678011813641,-5.0,-3.0,0.4692048069481311,0.4426395007706892,0.4692048069481311,0.4429777843625871,0.43292761539501645,4,1,1,1
19,2,46.83482974906483,66.04640083904869,-5.0,-1.0,0.6554316377645355,0.6297839758444027,0.607782514992285,0.6554316377645355,0.6318003983084646,4,1,1,1
24,62,60.117340510875295,212.35069021435854,5.0,3.0,0.446604349410872,0.4236873430126633,0.37754857925045954,0.446604349410872,0.4388004536928649,4,1,2,1
19,52,70.25355995821721,173.2751789831583,-5.0,1.0,0.5709802938913969,0.4998730811671767,0.4636414411270757,0.5446784404933397,0.5709802938913969,4,1,3,1
24,128,66.1881337215139,63.46752334103002,5.0,5.0,0.4250602800913738,0.33298695323435595,0.2900554710553015,0.30962141141084976,0.4250602800913738,4,1,1,1
24,115,203.75152750900926,80.04493386275439,5.0,5.0,0.39405955656974107,0.35630025312774394,0.38761951791655214,0.39405955656974107,0.37051268952492733,4,1,4,1
24,6,13.050898504166248,54.74684603286149,5.0,-1.0,0.5433541799144188,0.435088482391644,0.5037366220303159,0.5084716544876458,0.5433541799144188,4,1,3,1
29,149,90.86216243349061,99.85752947132113,15.0,7.0,0.3849602705060295,0.32498489208253345,0.3426987339934912,0.3849602705060295,0.32094094619788044,4,1,2,1
29,62,137.2314101920567,57.31925719095682,15.0,3.0,0.38038320252370633,0.29751516867074645,0.37528932357634515,0.33388421664454715,0.38038320252370633,4,1,3,1
29,110,89.26116201010026,238.18589455397793,15.0,7.0,0.37875470805865596,0.25825993690387467,0.2645699276258367,0.37875470805865596,0.2637710950384673,4,1,1,1
14,0,112.84688053191621,32.38921072759301,-15.0,-7.0,0.6211514262942164,0.4087423944276429,0.6211514262942164,0.6113307160598372,0.5771997679781842,4,1,1,1
14,19,150.85586645058586,5.593242216071249,-15.0,-5.0,0.4325972375796856,0.11051851812149918,0.4325972375796856,0.3929127892104324,0.27415781824581326,3,1,4,1
19,19,34.66258132745103,249.4376094164502,-5.0,1.0,0.7189103207666125,0.6615071707568164,0.6065074732188541,0.6228516158103508,0.7189103207666125,4,1,2,1
19,46,157.50292338467128,37.712964030794474,-5.0,-1.0,0.48556406136804203,0.30220065467865254,0.48556406136804203,0.4345164357807425,0.42306082723059507,4,1,2,1
24,15,114.83643351929668,33.639766517991596,5.0,-5.0,0.6869978092998956,0.5564214410436829,0.6869978092998956,0.6671610121772068,0.6245059816490999,4,1,2,1
24,23,32.15962557002614,221.92242777133853,5.0,5.0,0.4436235913252386,0.39138404403790406,0.4073516056603031,0.4358560596571543,0.4436235913252386,4,1,3,1
24,114,66.33714624289631,162.44726984258216,5.0,1.0,0.32886603330315506,0.20275436009235215,0.32886603330315506,0.2961792584983718,0.2467213972551444,4,1,1,1
24,116,141.02778614373838,144.11761425113497,5.0,7.0,0.28719354555564636,0.14472792835805173,0.2154367423574018,0.28719354555564636,0.226170697426257,3,1,2,1
24,118,72.2105210320249,226.98132717598634,5.0,7.0,0.2709123403118428,0.21614005006266454,0.15338833357169682,0.2709123403118428,0.23149054746019637,4,1,3,1
24,172,126.14312096245123,16.552928514228746,5.0,5.0,0.4029472596499574,0.23475141200051874,0.3438915518959907,0.4029472596499574,0.24480319833819797,4,1,4,1
24,177,81.71955282088696,237.284186955079,5.0,5.0,0.3694151062285234,0.19390017738425733,0.23970728871254826,0.2743377706514166,0.3694151062285234,4,1,2,1
29,15,147.84582950429754,46.465832129922084,15.0,3.0,0.5538622678953741,0.4506693604844946,0.5538622678953741,0.552166064816702,0.5178003058456623,4,1,3,1
29,30,143.5197269350467,13.167725558248598,15.0,3.0,0.5756006322569003,0.4192443806505316,0.5756006322569003,0.5440462114085298,0.5238547192992734,4,1,1,1
29,37,12.103202489709869,218.16283505672124,15.0,5.0,0.2798655114549743,0.27573107297443256,0.2571907075035209,0.258838218052493,0.2798655114549743,4,1,3,1
29,45,71.50413278452632,209.82831933429264,15.0,11.0,0.44111946373651956,0.35792518611664753,0.30137899051181594,0.4005090928134789,0.44111946373651956,4,1,1,1
29,47,60.878648101642206,212.8147101941848,15.0,13.0,0.38284751429088887,0.346644118533815,0.3191514565722393,0.38284751429088887,0.32156719569310616,4,1,1,1
29,70,169.36691028896996,49.06692962056151,15.0,7.0,0.33769701364354004,0.30473073251211313,0.2535911787671826,0.33769701364354004,0.32718783670781737,4,1,3,1
29,76,79.90597175136881,236.7773856501896,15.0,9.0,0.35405054936563474,0.28156772598318247,0.17754397643071237,0.2502569379300157,0.35405054936563474,4,1,3,1
29,95,67.56994378918117,236.14726171564902,15.0,7.0,0.39053415567250266,0.3316787901966934,0.34651427492801434,0.38920766258192013,0.39053415567250266,4,1,2,1
29,109,234.93873296869026,85.29895807130957,15.0,9.0,0.1687144579310683,0.16089596846586754,0.1687144579310683,0.0653071334147021,0.168278549890741,3,0,4,1
29,114,43.68608676199382,219.687452719148,15.0,5.0,0.3379716305420707,0.2525503736827844,0.18418409619886755,0.29356184633960625,0.3379716305420707,4,1,2,1
