Time,Data
20231230_175420501,514.36mm;     0.00mm/s;
20231230_175420603,514.36mm;     0.00mm/s;
20231230_175420705,514.36mm;     0.00mm/s;
20231230_175420807,514.77mm;     20.49mm/s;
20231230_175420909,515.69mm;     22.11mm/s;
20231230_175421011,516.00mm;     0.00mm/s;
20231230_175421113,516.20mm;     7.83mm/s;
20231230_175421215,516.31mm;     3.00mm/s;
20231230_175421317,518.05mm;     66.82mm/s;
20231230_175421419,522.97mm;     155.78mm/s;
20231230_175421520,528.71mm;     99.90mm/s;
20231230_175421621,536.39mm;     231.90mm/s;
20231230_175421724,551.76mm;     348.64mm/s;
20231230_175421825,565.90mm;     207.49mm/s;
20231230_175421927,568.16mm;     0.00mm/s;
20231230_175422029,568.16mm;     0.00mm/s;
20231230_175422131,568.16mm;     0.00mm/s;
20231230_175422232,567.65mm;     -29.52mm/s;
20231230_175422283,567.44mm;     0.00mm/s;
20231230_175422386,567.75mm;     19.63mm/s;
20231230_175422488,569.90mm;     34.47mm/s;
20231230_175422590,572.67mm;     83.06mm/s;
20231230_175422691,575.95mm;     29.52mm/s;
20231230_175422792,576.97mm;     30.34mm/s;
20231230_175422894,578.10mm;     19.43mm/s;
20231230_175422994,578.41mm;     7.23mm/s;
20231230_175423096,578.41mm;     0.00mm/s;
20231230_175423198,578.41mm;     0.00mm/s;
20231230_175423300,578.41mm;     0.00mm/s;
20231230_175423401,578.41mm;     0.00mm/s;
20231230_175423502,578.41mm;     0.00mm/s;
20231230_175423604,578.41mm;     0.00mm/s;
20231230_175423705,578.41mm;     0.00mm/s;
20231230_175423806,578.41mm;     0.00mm/s;
20231230_175423909,578.41mm;     0.00mm/s;
20231230_175424011,578.41mm;     0.00mm/s;
20231230_175424117,578.41mm;     0.00mm/s;
20231230_175424219,578.41mm;     0.00mm/s;
20231230_175424321,578.41mm;     0.00mm/s;
20231230_175424422,578.41mm;     0.00mm/s;
20231230_175424523,578.41mm;     0.00mm/s;
20231230_175424626,578.41mm;     0.00mm/s;
20231230_175424728,578.41mm;     0.00mm/s;
20231230_175424830,578.41mm;     0.00mm/s;
20231230_175424932,578.41mm;     0.00mm/s;
20231230_175424983,578.41mm;     0.00mm/s;
20231230_175425085,578.41mm;     0.00mm/s;
20231230_175425187,578.41mm;     0.00mm/s;
20231230_175425288,578.41mm;     0.00mm/s;
20231230_175425390,578.41mm;     0.00mm/s;
20231230_175425493,578.41mm;     0.00mm/s;
20231230_175425594,578.41mm;     0.00mm/s;
20231230_175425696,578.41mm;     0.00mm/s;
20231230_175425797,578.41mm;     0.00mm/s;
20231230_175425899,578.41mm;     0.00mm/s;
20231230_175426001,578.41mm;     0.00mm/s;
20231230_175426103,578.41mm;     0.00mm/s;
20231230_175426205,578.41mm;     0.00mm/s;
20231230_175426307,578.41mm;     0.00mm/s;
20231230_175426410,578.41mm;     0.00mm/s;
20231230_175426512,578.41mm;     0.00mm/s;
20231230_175426613,578.41mm;     0.00mm/s;
20231230_175426715,578.41mm;     0.00mm/s;
20231230_175426815,578.41mm;     0.00mm/s;
20231230_175426917,578.41mm;     0.00mm/s;
20231230_175427018,578.41mm;     0.00mm/s;
20231230_175427120,578.41mm;     0.00mm/s;
20231230_175427222,578.41mm;     0.00mm/s;
20231230_175427324,578.41mm;     0.00mm/s;
20231230_175427426,578.41mm;     0.00mm/s;
20231230_175427528,578.41mm;     0.00mm/s;
20231230_175427579,578.41mm;     0.00mm/s;
20231230_175427680,578.41mm;     0.00mm/s;
20231230_175427782,578.41mm;     0.00mm/s;
20231230_175427888,578.41mm;     0.00mm/s;
20231230_175427990,578.41mm;     0.00mm/s;
20231230_175428092,578.41mm;     0.00mm/s;
20231230_175428193,578.41mm;     0.00mm/s;
20231230_175428295,578.41mm;     0.00mm/s;
20231230_175428397,578.41mm;     0.00mm/s;
20231230_175428498,578.41mm;     0.00mm/s;
20231230_175428600,578.41mm;     0.00mm/s;
20231230_175428702,578.41mm;     0.00mm/s;
20231230_175428803,578.41mm;     0.00mm/s;
20231230_175428904,578.41mm;     0.00mm/s;
20231230_175429008,578.41mm;     0.00mm/s;
20231230_175429110,578.41mm;     0.00mm/s;
20231230_175429213,578.41mm;     0.00mm/s;
20231230_175429315,578.41mm;     0.00mm/s;
20231230_175429416,578.41mm;     0.00mm/s;
20231230_175429518,578.41mm;     0.00mm/s;
20231230_175429619,578.41mm;     0.00mm/s;
20231230_175429721,578.41mm;     0.00mm/s;
20231230_175429823,578.41mm;     0.00mm/s;
20231230_175429925,578.41mm;     0.00mm/s;
20231230_175429976,578.41mm;     0.00mm/s;
20231230_175430078,578.41mm;     0.00mm/s;
20231230_175430179,578.41mm;     0.00mm/s;
20231230_175430281,578.41mm;     0.00mm/s;
20231230_175430383,578.41mm;     0.00mm/s;
20231230_175430485,578.41mm;     0.00mm/s;
20231230_175430586,578.41mm;     0.00mm/s;
20231230_175430688,578.41mm;     0.00mm/s;
20231230_175430789,578.41mm;     0.00mm/s;
20231230_175430890,578.41mm;     0.00mm/s;
20231230_175430992,578.41mm;     0.00mm/s;
20231230_175431094,578.41mm;     0.00mm/s;
20231230_175431196,578.41mm;     0.00mm/s;
20231230_175431297,578.41mm;     0.00mm/s;
