idx,orig_idx,col,row,z_um,z_plane_equiv,x_um,y_um,n_views_matched,peak_corr,center_spread_px,mean_trace_corr,min_trace_corr,primary_view
37,37,133.8337068447904,119.79529036236698,2.0,1.0,133.8337068447904,119.79529036236698,4,2.221327725405218,0.170295289706484,0.7602728283787658,0.7602728283787658,1
38,38,248.71565051820133,171.78427573615068,8.0,4.0,248.71565051820133,171.78427573615068,4,1.6793628867421875,1.5494806839712711,0.7156595199976356,0.7156595199976356,1
39,39,243.1320445155304,74.93579948296819,1.3333333333333333,0.6666666666666666,243.1320445155304,74.93579948296819,4,2.193639559127021,0.07238002054883402,0.7870631512046002,0.7870631512046002,1
40,40,51.48108478875596,87.46962054605531,-7.5,-3.75,51.48108478875596,87.46962054605531,4,1.98061444112192,2.009593871404769,0.7382602435610234,0.7382602435610234,1
41,41,195.98182562620187,126.01434649304564,10.666666666666666,5.333333333333333,195.98182562620187,126.01434649304564,4,1.857889590627725,2.2730154611816875,0.7913639857299155,0.7913639857299155,1
42,42,9.126401760699585,172.82334496668827,9.333333333333334,4.666666666666667,9.126401760699585,172.82334496668827,4,1.4143827000929357,1.9510326681733592,0.5911884799849321,0.5911884799849321,1
43,43,204.41692549333575,151.87580584278342,10.666666666666666,5.333333333333333,204.41692549333575,151.87580584278342,4,1.7361674802569902,2.0406822758234053,0.6891353924094675,0.6891353924094675,1
44,44,109.56849929471372,7.698451199706639,-4.0,-2.0,109.56849929471372,7.698451199706639,4,2.2417753780293235,1.0445670962801197,0.8135394257392686,0.8135394257392686,1
45,45,236.57006075967078,120.88512493359765,11.0,5.5,236.57006075967078,120.88512493359765,4,2.1156428919133017,2.588037846360705,0.7342883273191342,0.7342883273191342,1
46,46,214.6523753208553,137.95315543784383,10.0,5.0,214.6523753208553,137.95315543784383,4,1.6293618282597384,2.2058260750859366,0.6768028372014485,0.6768028372014485,1
47,47,240.28748032046724,130.7045667785323,16.0,8.0,240.28748032046724,130.7045667785323,4,2.074335328214119,3.3490331167300345,0.7419451195923412,0.7419451195923412,1
48,48,27.667261717861997,154.94672160113154,8.0,4.0,27.667261717861997,154.94672160113154,4,2.2359131765000204,1.2609349843413753,0.8037605660714324,0.8037605660714324,1
49,49,159.7700983117849,55.07745674468328,4.0,2.0,159.7700983117849,55.07745674468328,4,1.7127497851603222,0.24731418560298152,0.6023478893079094,0.6023478893079094,1
50,50,123.35396068755088,184.2813796813602,1.0,0.5,123.35396068755088,184.2813796813602,4,1.577110998217953,0.3134093918219381,0.7354312676280466,0.7354312676280466,1
51,51,186.72313083419598,239.41930394001906,14.0,7.0,186.72313083419598,239.41930394001906,4,1.3540000056552137,2.3720541027136806,0.5005413915705826,0.5005413915705826,1
52,52,245.29326073199763,51.3633851654964,16.5,8.25,245.29326073199763,51.3633851654964,4,2.1948278497377913,4.000355186584745,0.7914751881104705,0.7914751881104705,1
53,53,26.041408654175896,15.051741760511165,-16.0,-8.0,26.041408654175896,15.051741760511165,4,1.10435080308215,4.138341399337042,0.48857507763741453,0.48857507763741453,1
54,54,213.96984514501068,112.41405754530109,11.0,5.5,213.96984514501068,112.41405754530109,4,2.0278478971535954,2.4408352271067995,0.7535338822119636,0.7535338822119636,1
55,55,64.65472399410044,235.81919322110505,9.333333333333334,4.666666666666667,64.65472399410044,235.81919322110505,4,2.1519172013298897,1.888494496982539,0.8281633556510147,0.8281633556510147,1
56,56,24.230824525606213,69.44459614805432,-14.0,-7.0,24.230824525606213,69.44459614805432,4,0.9676270620025084,3.612585920128238,0.6181130173976973,0.6181130173976973,1
57,57,214.89579104544782,68.13841108645177,6.666666666666667,3.3333333333333335,214.89579104544782,68.13841108645177,4,1.4112761108456646,1.1889881350200566,0.6349190428850732,0.6349190428850732,1
58,58,145.35989378760308,215.38911049774748,8.0,4.0,145.35989378760308,215.38911049774748,4,1.8637869074401665,1.7758064172574353,0.7897537763916482,0.7897537763916482,1
59,59,14.910027019663865,80.0346423971421,3.5,1.75,14.910027019663865,80.0346423971421,4,2.8260111498940277,0.4910059309708335,0.9565385292517394,0.9565385292517394,1
60,60,170.28140413835547,148.83552734365526,2.6666666666666665,1.3333333333333333,170.28140413835547,148.83552734365526,4,1.7271056318151758,0.3630517153441306,0.6875356369371364,0.6875356369371364,1
61,61,144.81859974827407,107.85907900913469,-4.0,-2.0,144.81859974827407,107.85907900913469,4,1.7515474557106137,0.9924592692006691,0.6958692114028986,0.6958692114028986,1
62,62,10.595182927213923,17.3511068837697,-4.5,-2.25,10.595182927213923,17.3511068837697,4,1.8971502884093092,1.2541224654452257,0.7674967808226982,0.7674967808226982,1
63,63,132.84409400724462,122.32937007749452,4.0,2.0,132.84409400724462,122.32937007749452,4,1.6874682582950395,0.4608222536723544,0.6989774513573572,0.6989774513573572,1
64,64,238.20222078397092,10.609364372204652,10.0,5.0,238.20222078397092,10.609364372204652,4,1.4540303498022094,2.0269973892718602,0.5953964739995615,0.5953964739995615,1
65,65,85.69457917017604,10.46183363209023,-5.0,-2.5,85.69457917017604,10.46183363209023,4,1.6085277867686867,1.3739713423311855,0.6233478106737477,0.6233478106737477,1
66,66,20.108313640134224,113.34892616655856,-30.0,-15.0,20.108313640134224,113.34892616655856,4,1.3905131926949679,7.7845584296085955,0.5154695416763303,0.5154695416763303,1
67,67,188.08275882315468,47.8904988016013,-2.0,-1.0,188.08275882315468,47.8904988016013,4,2.146997966832407,0.6877921436534343,0.8030672754200591,0.8030672754200591,1
68,68,172.18468055049425,148.737300478511,10.666666666666666,5.333333333333333,172.18468055049425,148.737300478511,4,1.419176615554445,2.437355681733879,0.6322135224153568,0.6322135224153568,1
69,69,94.72933126588235,9.928611761109579,-7.0,-3.5,94.72933126588235,9.928611761109579,4,1.396928287887925,2.012455385668507,0.590268876863847,0.590268876863847,1
70,70,231.20845622153058,206.26667825027468,9.0,4.5,231.20845622153058,206.26667825027468,4,1.8839366763715106,1.5536340030256541,0.7076167018954941,0.7076167018954941,1
71,71,185.27170851486449,121.79723063821443,-22.0,-11.0,185.27170851486449,121.79723063821443,4,0.7418810470975441,5.7162060338604395,0.2616624397394889,0.2616624397394889,1
72,72,187.60935098621715,5.039298903491226,3.5,1.75,187.60935098621715,5.039298903491226,4,2.343121297819389,0.4605578278482072,0.8746637316269548,0.8746637316269548,1
73,73,208.04895890678964,41.88309340100646,5.5,2.75,208.04895890678964,41.88309340100646,4,1.8779599262523607,0.8490095551519219,0.799361155748664,0.799361155748664,1
74,74,249.76676458188717,219.506190106861,1.3333333333333333,0.6666666666666666,249.76676458188717,219.506190106861,4,1.5446994049004301,0.13325750105349832,0.685762854594185,0.685762854594185,1
75,75,157.09269794318607,39.02562476436965,5.0,2.5,157.09269794318607,39.02562476436965,4,1.8087166114063649,0.9672046574201304,0.7216819013907168,0.7216819013907168,1
76,76,104.82317139320902,95.09453637605039,-8.0,-4.0,104.82317139320902,95.09453637605039,4,1.420201161190569,2.0369987411474257,0.5625561437440796,0.5625561437440796,1
77,77,55.48974266803425,98.64423912557817,-2.0,-1.0,55.48974266803425,98.64423912557817,4,1.1654367263707948,0.4834741528414768,0.5117210224706042,0.5117210224706042,1
78,78,21.7353804158063,25.464630403186373,-6.0,-3.0,21.7353804158063,25.464630403186373,4,1.1074659802731814,1.513334377903913,0.5939898552900321,0.5939898552900321,1
79,79,234.55702506511784,53.7019020374344,10.0,5.0,234.55702506511784,53.7019020374344,4,1.8456631470838907,1.90469873425288,0.6813424556853895,0.6813424556853895,1
80,80,123.73255265481778,194.92352197008273,-26.0,-13.0,123.73255265481778,194.92352197008273,4,0.8304043620379514,6.768381858299713,0.5248000639725252,0.5248000639725252,1
81,81,166.93490803909535,247.1670047784925,14.0,7.0,166.93490803909535,247.1670047784925,4,1.5229593099755871,2.7258423520369317,0.5833014915983425,0.5833014915983425,1
82,82,98.98654150709129,201.83678580351636,-2.0,-1.0,98.98654150709129,201.83678580351636,4,1.0712979726612426,0.48347415284147516,0.4823963188298309,0.4823963188298309,1
83,83,234.36657331728483,208.42948267774076,7.333333333333333,3.6666666666666665,234.36657331728483,208.42948267774076,4,2.091162490922229,1.40895157726662,0.8240063257842296,0.8240063257842296,1
84,84,176.24580904026755,249.31348130966958,15.0,7.5,176.24580904026755,249.31348130966958,4,1.3696547290327898,3.492811552502032,0.5443587178027476,0.5443587178027476,1
85,85,205.0560619567941,151.33185450656046,4.0,2.0,205.0560619567941,151.33185450656046,4,1.5380667464855664,0.36777327461492143,0.5695075088908802,0.5695075088908802,1
86,86,220.79255063799565,204.70096831075637,14.0,7.0,220.79255063799565,204.70096831075637,4,1.3875972561567194,2.7258423520369317,0.500117550187132,0.500117550187132,1
87,87,12.164069291436268,138.04809607841906,-14.0,-7.0,12.164069291436268,138.04809607841906,4,1.4185031148412395,3.61258592012825,0.5937776362730257,0.5937776362730257,1
88,88,239.52439118498205,186.02497566503808,18.0,9.0,239.52439118498205,186.02497566503808,4,0.974640493430924,3.6938681561649647,0.440967378100044,0.440967378100044,1
89,89,124.31184489501308,200.97413401379313,-10.0,-5.0,124.31184489501308,200.97413401379313,4,1.740865473279165,2.5617424143136485,0.6106576519376888,0.6106576519376888,2
90,90,163.67977590023693,7.3173179817752425,-3.3333333333333335,-1.6666666666666667,163.67977590023693,7.3173179817752425,4,2.150923663280484,1.0052905070171274,0.8038125324824336,0.8038125324824336,2
91,91,246.59408265425074,101.24235088851809,5.0,2.5,246.59408265425074,101.24235088851809,4,2.4371353044333284,0.7622096247284413,0.8390596186323086,0.8390596186323086,2
92,92,208.58967282651466,59.629018973367465,10.0,5.0,208.58967282651466,59.629018973367465,4,1.2458823306350149,1.7605293222524336,0.553215504270488,0.553215504270488,2
93,93,243.33636600128537,170.56113954790288,16.0,8.0,243.33636600128537,170.56113954790288,4,1.7911718158595227,3.2096694054806383,0.6714831524968076,0.6714831524968076,2
94,94,246.6406689231194,99.78570385914666,6.0,3.0,246.6406689231194,99.78570385914666,4,2.541702418779879,1.0022814316528317,0.8614702501874811,0.8614702501874811,2
95,95,169.65786015847914,148.58892981045503,6.0,3.0,169.65786015847914,148.58892981045503,4,1.8037309419326866,0.8077145870829573,0.7178352034187466,0.7178352034187466,2
96,96,103.37165464043723,48.04912428145295,-9.333333333333334,-4.666666666666667,103.37165464043723,48.04912428145295,4,2.243238254424016,2.3783082471579013,0.8139407271670374,0.8139407271670374,2
97,97,149.4635308154085,250.92898872870126,11.0,5.5,149.4635308154085,250.92898872870126,4,2.0691618185153358,1.7468678495150756,0.7460843145615285,0.7460843145615285,2
98,98,115.18236155187078,35.40280607084757,-11.333333333333334,-5.666666666666667,115.18236155187078,35.40280607084757,4,2.016776870175213,2.93207064644665,0.853270108374059,0.853270108374059,2
99,99,151.80451339330543,4.819181755339974,-3.0,-1.5,151.80451339330543,4.819181755339974,4,1.5524804414942064,0.8197675315063351,0.7800877037747039,0.7800877037747039,2
100,100,83.27654321709889,210.69133416941605,1.0,0.5,83.27654321709889,210.69133416941605,4,1.878152103211649,0.041081043044428035,0.7382630266524726,0.7382630266524726,2
101,101,170.31512276236282,62.95136133259097,-5.0,-2.5,170.31512276236282,62.95136133259097,4,1.3826870621394107,1.112401485866707,0.6102292191339748,0.6102292191339748,2
102,102,23.46088583052577,23.507225415526925,5.0,2.5,23.46088583052577,23.507225415526925,4,1.7853374992158249,0.6732199436194167,0.7010624471757673,0.7010624471757673,2
103,103,203.47123332960618,233.0063304558908,8.0,4.0,203.47123332960618,233.0063304558908,4,1.6738598474029625,1.2808089729476153,0.7227605350549149,0.7227605350549149,2
104,104,27.339777404877193,147.69823215011314,0.0,0.0,27.339777404877193,147.69823215011314,4,2.013785089552221,0.06685198822160213,0.7975903679871515,0.7975903679871515,2
105,105,131.338935316953,75.94618785761966,-4.0,-2.0,131.338935316953,75.94618785761966,4,1.622809215473331,0.9924592692006691,0.5923968303972429,0.5923968303972429,2
106,106,207.44612188399392,193.21667233949054,6.0,3.0,207.44612188399392,193.21667233949054,4,1.5104256866281245,0.8077145870829573,0.5101353433455299,0.5101353433455299,2
107,107,210.49305561970436,218.5070117293059,7.333333333333333,3.6666666666666665,210.49305561970436,218.5070117293059,4,2.373112778285133,1.2824228756255331,0.87894579546568,0.87894579546568,2
108,108,168.51637913397326,105.07418584979231,-2.0,-1.0,168.51637913397326,105.07418584979231,4,1.6582706688203737,0.5791129060261272,0.6628794038744995,0.6628794038744995,2
109,109,115.80653089828195,57.98582642575367,-10.0,-5.0,115.80653089828195,57.98582642575367,4,1.7256400493030823,1.939467850147219,0.673640854203414,0.673640854203414,2
110,110,29.90021015371764,197.36199523883096,4.0,2.0,29.90021015371764,197.36199523883096,4,1.6269288372569435,0.3677732746149191,0.5908950543388917,0.5908950543388917,2
