m2_plane,m2_roi,source,col,row,z_um,corr_or_best_r,primary_view,m1_idx,d_xy_px,d_z_um,n_pass,accepted
24,160,recovered_bin,98.83098539750573,201.56829456663164,5.0,0.3679510876382874,3,-1,,0.0,4,1
24,163,recovered_bin,175.23636299213996,4.047113153061646,3.0,0.4783515044539242,2,-1,,2.0,4,1
24,168,recovered_bin,159.19338163937394,79.47069846912764,5.0,0.37008298927112215,3,-1,,0.0,4,1
24,170,recovered_bin,212.6409998996085,49.55779645882099,-9.0,0.2622441294676555,3,-1,,14.0,2,1
24,171,recovered_bin,194.50632240512775,98.82686621969826,5.0,0.3665721984076661,3,-1,,0.0,4,1
24,172,recovered_bin,126.14312096245123,17.552928514228746,5.0,0.3822098350428863,2,-1,,0.0,4,1
24,175,recovered_bin,66.60318677184453,100.89232958031272,-5.0,0.37825748890341543,2,-1,,10.0,4,1
24,177,recovered_bin,82.71955282088696,237.284186955079,17.0,0.33196751397751856,4,-1,,12.0,4,1
24,180,recovered_bin,221.85151553423944,204.41010262604806,9.0,0.3619795215495804,3,-1,,4.0,4,1
24,185,recovered_bin,235.3345681067556,52.527642616330276,1.0,0.5751501219305711,2,-1,,4.0,4,1
24,187,recovered_bin,249.07470245066872,22.685612159025133,15.0,0.613395200640099,1,-1,,10.0,4,1
24,189,recovered_bin,232.42464181737347,147.590751550093,9.0,0.3413959869079294,4,-1,,4.0,4,1
24,190,recovered_bin,68.99295311416014,237.6767707492055,7.0,0.6035735637651716,2,-1,,2.0,4,1
24,215,matched_trusted,11.085825185314702,19.63131294510378,2.0,0.4996750189634205,2,90,3.710112872473894,3.0,,1
24,227,recovered_bin,92.74183076374096,219.19148043707094,13.0,0.4424379130577056,3,-1,,8.0,4,1
24,232,recovered_bin,41.619007040845126,203.8975626992515,11.0,0.25667892794802394,3,-1,,6.0,4,1
24,238,recovered_bin,155.27681244524882,18.657906932928835,5.0,0.38736801064950943,2,-1,,0.0,3,1
24,239,recovered_bin,144.3245783555868,224.0103654251581,7.0,0.4043826389745425,1,-1,,2.0,4,1
24,242,recovered_bin,129.0956081659649,226.13090858268816,9.0,0.4755380316075837,3,-1,,4.0,4,1
