m2_plane,m2_roi,source,col,row,z_um,corr_or_best_r,primary_view,m1_idx,d_xy_px,d_z_um,n_pass,accepted,snr
24,70,matched_trusted,210.49305561970436,218.5070117293059,7.333333333333333,0.6947662959229848,2,107,0.6753090402374596,2.333333333333333,,1,2.9517390788448736
24,71,recovered_bin_refined,216.75051792901405,67.67822690310393,6.0,0.6876235929760751,1,-1,,1.0,4,1,1.3100242688334178
24,73,recovered_bin_refined,71.53430293036459,123.73006640792708,0.0,0.7026605052530492,3,-1,,5.0,4,1,1.3974332281525024
24,77,matched_trusted,83.27654321709889,210.69133416941605,1.0,0.46852262369872866,2,100,0.715016807187768,4.0,,1,1.8466026585191462
24,81,recovered_bin_refined,75.3098373981107,189.81703158446976,6.0,0.7800910398834253,2,-1,,1.0,4,1,1.7560584688262484
24,86,recovered_bin_refined,185.49224703616835,221.02084797376435,8.0,0.7495895722584017,1,-1,,3.0,4,1,1.8264622366973666
24,87,matched_trusted,214.8759244462592,17.57590555675306,4.0,0.5787634862463719,3,144,0.6500308287609904,1.0,,1,2.0647392852770166
24,88,matched_trusted,159.7700983117849,55.07745674468328,4.0,0.45373192122191713,1,49,1.7363264668815108,1.0,,1,1.7008628177813727
24,90,recovered_bin_refined,109.84963641667069,227.05085265606732,6.0,0.745929603545069,2,-1,,1.0,4,1,1.7147450069214474
24,92,matched_trusted,68.6724028178561,172.8545380203482,0.0,0.6669783578879723,2,118,0.3846094541346925,5.0,,1,3.0036993798241114
24,93,recovered_bin_refined,248.83983109347696,48.13357403608587,16.0,0.8524879924939899,4,-1,,11.0,4,1,1.8489682149874196
24,94,recovered_bin_refined,146.42940802462937,104.28169862463608,4.0,0.7489365025856651,1,-1,,1.0,4,1,1.6446034520190833
24,99,recovered_bin_refined,131.2116253388214,73.68738078506175,2.0,0.7091067012585605,2,-1,,3.0,4,1,1.5270589274435944
24,102,recovered_bin_refined,92.58654532493237,146.57554462403374,0.0,0.5523427260661709,2,-1,,5.0,4,1,1.3935842070221114
24,103,matched_trusted,187.60935098621715,5.039298903491226,3.5,0.47549862968335677,1,72,1.8962466450020043,1.5,,1,4.77791464347244
24,111,recovered_bin_refined,239.56473725791457,11.326783149936928,4.0,0.6948602917448662,4,-1,,1.0,4,1,1.508171447680593
24,113,matched_trusted,32.84754832453277,10.814845825492021,-6.0,0.569643359510909,3,170,0.8234939779235857,11.0,,1,2.2838012491087927
