m2_plane,m2_roi,source,col,row,z_um,corr_or_best_r,primary_view,m1_idx,d_xy_px,d_z_um,n_pass,accepted
24,130,recovered_bin_refined,187.8289404627414,48.048147268016145,4.0,0.8776935611691663,3,-1,,1.0,4,1
24,132,recovered_bin_refined,218.3719440243178,224.5024102195283,6.0,0.8121110697226297,3,-1,,1.0,4,1
24,139,recovered_bin_refined,19.377158218639998,132.85145400394873,2.0,0.6824500074931424,2,-1,,3.0,4,1
24,140,matched_trusted,39.67160955559231,97.92241176463199,-6.0,0.4846397927087495,3,143,2.057085555830902,11.0,,1
24,141,recovered_bin_refined,128.16299493952343,245.81755513168022,4.0,0.6941456560402307,1,-1,,1.0,4,1
24,142,matched_trusted,23.39211274786634,238.8738232431711,12.0,0.40365974264417065,3,189,0.34831439775162604,7.0,,1
24,147,recovered_bin_refined,139.3238904454646,132.88970621788613,6.0,0.6659565770285547,3,-1,,1.0,4,1
24,152,matched_trusted,116.36075316369977,59.85608609194997,-5.0,0.4656501897976671,2,108,2.663267180830551,10.0,,1
24,153,recovered_bin_refined,215.81758656741087,140.0637009589926,8.0,0.7664019667924096,1,-1,,3.0,4,1
24,155,recovered_bin_refined,213.29465908779778,100.77364697526967,6.0,0.6622324861183939,1,-1,,1.0,4,1
24,157,recovered_bin_refined,27.44813298997875,147.54441546838873,2.0,0.6829903389424516,2,-1,,3.0,4,1
24,160,recovered_bin_refined,96.83098539750573,201.56829456663164,6.0,0.5229053713586672,2,-1,,1.0,4,1
24,163,recovered_bin_refined,175.23636299213996,4.047113153061646,-4.0,0.7499924578320635,2,-1,,9.0,4,1
24,168,recovered_bin_refined,159.19338163937394,81.47069846912764,2.0,0.6130354634809504,2,-1,,3.0,4,1
24,170,recovered_bin_refined,214.6409998996085,49.55779645882099,4.0,0.5294395340312883,2,-1,,1.0,4,1
24,171,recovered_bin_refined,196.50632240512775,100.82686621969826,8.0,0.6753820691229355,1,-1,,3.0,4,1
24,172,recovered_bin_refined,126.14312096245123,17.552928514228746,0.0,0.6689885739612496,2,-1,,5.0,4,1
24,175,recovered_bin_refined,64.60318677184453,102.89232958031272,2.0,0.6185444560465794,2,-1,,3.0,4,1
